id,nendo,start_date,end_date,fixed,created_at,updated_at,consumption_tax_type,statutory_tax_rate
4,2022,20220401,20230331,1,2023-05-14 15:43:43.649187,2023-05-14 15:43:43.649187,EXEMPT,
3,2021,20210401,20220331,1,2021-04-21 00:00:00,2021-04-21 00:00:00,EXEMPT,
2,2020,20200401,20210331,1,2021-02-28 00:00:00,2021-02-28 00:00:00,EXEMPT,
1,2019,20190401,20200331,1,2021-03-16 00:00:00,2021-03-16 00:00:00,EXEMPT,
6,2024,20240401,20250331,1,2024-06-21 10:07:56,2024-06-21 10:07:56,EXEMPT,
5,2023,20230401,20240331,1,2024-05-14 15:43:43.649187,2024-05-14 15:43:43.649187,EXEMPT,
7,2025,20250401,20260331,0,2024-05-14 15:43:43.649187,2024-05-14 15:43:43.649187,EXEMPT,
