id,kamoku_bunrui_cd,kamoku_bunrui_name,kamoku_bunrui_type,kurikoshi_flg,created_at,updated_at
1,A,資産,L,1,2021-03-21 00:00:00,2021-03-21 00:00:00
2,B,負債,R,1,2021-03-21 00:00:00,2021-03-21 00:00:00
3,C,純資産,R,1,2021-03-21 00:00:00,2021-03-21 00:00:00
4,D,収益,R,0,2021-03-21 00:00:00,2021-03-21 00:00:00
5,E,費用,L,0,2021-03-21 00:00:00,2021-03-21 00:00:00
6,F,法人税等,L,0,2021-03-21 00:00:00,2021-03-21 00:00:00
7,G,決算,R,0,2021-03-21 00:00:00,2021-03-21 00:00:00
